SamplesAll	Genus	Samples	Family	Clade	Order	Functional_Group	Library
MT_MYC1	Mycedium	MYC1	Pectiniidae	Robusta	Scleractinia	Generalist	Metatranscriptome
MT_MYC2	Mycedium	MYC2	Pectiniidae	Robusta	Scleractinia	Generalist	Metatranscriptome
MT_MYC3	Mycedium	MYC3	Pectiniidae	Robusta	Scleractinia	Generalist	Metatranscriptome
MT_MYC4	Mycedium	MYC4	Pectiniidae	Robusta	Scleractinia	Generalist	Metatranscriptome
MT_MYC5	Mycedium	MYC5	Pectiniidae	Robusta	Scleractinia	Generalist	Metatranscriptome
MT_PAC1	Pachyseris	PAC1	Agariciidae	Complexa	Scleractinia	Generalist	Metatranscriptome
MT_PAC2	Pachyseris	PAC2	Agariciidae	Complexa	Scleractinia	Generalist	Metatranscriptome
MT_PAC3	Pachyseris	PAC3	Agariciidae	Complexa	Scleractinia	Generalist	Metatranscriptome
MT_PAC4	Pachyseris	PAC4	Agariciidae	Complexa	Scleractinia	Generalist	Metatranscriptome
MT_PAC5	Pachyseris	PAC5	Agariciidae	Complexa	Scleractinia	Generalist	Metatranscriptome
MT_PAV1	Pavona	PAV1	Agariciidae	Complexa	Scleractinia	Stress-tolerant	Metatranscriptome
MT_PAV2	Pavona	PAV2	Agariciidae	Complexa	Scleractinia	Stress-tolerant	Metatranscriptome
MT_PAV3	Pavona	PAV3	Agariciidae	Complexa	Scleractinia	Stress-tolerant	Metatranscriptome
MT_PAV4	Pavona	PAV4	Agariciidae	Complexa	Scleractinia	Stress-tolerant	Metatranscriptome
MT_PAV5	Pavona	PAV5	Agariciidae	Complexa	Scleractinia	Stress-tolerant	Metatranscriptome
MT_PLE1	Plerogyra	PLE1	Caryophylliidae	Robusta	Scleractinia	Stress-tolerant	Metatranscriptome
MT_PLE2	Plerogyra	PLE2	Caryophylliidae	Robusta	Scleractinia	Stress-tolerant	Metatranscriptome
MT_PLE3	Plerogyra	PLE3	Caryophylliidae	Robusta	Scleractinia	Stress-tolerant	Metatranscriptome
MT_PLE4	Plerogyra	PLE4	Caryophylliidae	Robusta	Scleractinia	Stress-tolerant	Metatranscriptome
MT_POC1	Pocillopora	POC1	Pocilloporidae	Robusta	Scleractinia	Competitive	Metatranscriptome
MT_POC2	Pocillopora	POC2	Pocilloporidae	Robusta	Scleractinia	Competitive	Metatranscriptome
MT_POC3	Pocillopora	POC3	Pocilloporidae	Robusta	Scleractinia	Competitive	Metatranscriptome
MT_POC4	Pocillopora	POC4	Pocilloporidae	Robusta	Scleractinia	Competitive	Metatranscriptome
MT_POR1	Porites	POR1	Poritidae	Complexa	Scleractinia	Stress-tolerant	Metatranscriptome
MT_POR2	Porites	POR2	Poritidae	Complexa	Scleractinia	Stress-tolerant	Metatranscriptome
MT_POR3	Porites	POR3	Poritidae	Complexa	Scleractinia	Stress-tolerant	Metatranscriptome
MT_POR4	Porites	POR4	Poritidae	Complexa	Scleractinia	Stress-tolerant	Metatranscriptome
MT_POR5	Porites	POR5	Poritidae	Complexa	Scleractinia	Stress-tolerant	Metatranscriptome
MT_STY1	Stylophora	STY1	Pocilloporidae	Robusta	Scleractinia	Weedy	Metatranscriptome
MT_STY2	Stylophora	STY2	Pocilloporidae	Robusta	Scleractinia	Weedy	Metatranscriptome
MT_STY3	Stylophora	STY3	Pocilloporidae	Robusta	Scleractinia	Weedy	Metatranscriptome
MT_STY4	Stylophora	STY4	Pocilloporidae	Robusta	Scleractinia	Weedy	Metatranscriptome
MT_STY5	Stylophora	STY5	Pocilloporidae	Robusta	Scleractinia	Weedy	Metatranscriptome
MT_XEN1	Xenia	XEN1	Xeniidae	None	 Octocorallia	None	Metatranscriptome
MT_XEN2	Xenia	XEN2	Xeniidae	None	 Octocorallia	None	Metatranscriptome
MT_XEN3	Xenia	XEN3	Xeniidae	None	 Octocorallia	None	Metatranscriptome
MT_XEN4	Xenia	XEN4	Xeniidae	None	 Octocorallia	None	Metatranscriptome
MT_XEN5	Xenia	XEN5	Xeniidae	None	 Octocorallia	None	Metatranscriptome
